1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 2 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 2 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 3 3 
1.500000 121.000000 1 3 3 
